seed,combat,ratio,rout,left,winner,flank_wins
1000,19.900000,0.262533,75.484983,55.024877,red_b,true
1001,20.300000,0.267810,75.795294,55.735369,red_b,true
1002,21.600000,0.284960,76.322778,60.283640,red_b,true
1003,22.600000,0.298153,76.847270,60.815323,red_b,true
1004,20.900000,0.275726,75.971299,57.901162,red_b,true
1005,21.100000,0.278364,75.749289,54.918249,red_b,true
1006,20.700000,0.273087,75.972907,57.561924,red_b,true
1007,21.600000,0.284960,76.140570,57.604785,red_b,true
1008,21.800000,0.287599,76.426558,59.971835,red_b,true
1009,21.500000,0.283641,75.771614,55.183347,red_b,true
1010,21.400000,0.282322,76.109983,59.777160,red_b,true
1011,21.200000,0.279683,76.012355,56.508097,red_b,true
1012,21.400000,0.282322,76.438104,60.603316,red_b,true
1013,21.300000,0.281003,76.185466,57.568871,red_b,true
1014,20.400000,0.269129,76.032322,61.039675,red_b,true
1015,20.900000,0.275726,76.293408,59.949845,red_b,true
1016,21.000000,0.277045,76.135819,59.445681,red_b,true
1017,21.600000,0.284960,76.222959,58.774872,red_b,true
1018,20.400000,0.269129,75.776528,55.536639,red_b,true
1019,21.800000,0.287599,75.969736,55.492369,red_b,true
1020,21.000000,0.277045,76.659763,64.500613,red_b,true
1021,21.000000,0.277045,76.296296,57.844936,red_b,true
1022,21.000000,0.277045,75.845232,56.869154,red_b,true
1023,22.500000,0.296834,76.658769,59.880472,red_b,true
1024,21.600000,0.284960,76.068755,56.543327,red_b,true
1025,21.800000,0.287599,75.910973,54.692862,red_b,true
1026,20.800000,0.274406,75.943409,56.720341,red_b,true
1027,22.600000,0.298153,76.649931,62.578536,red_b,true
1028,19.700000,0.259894,75.651695,56.588413,red_b,true
1029,23.400000,0.308707,76.630591,60.014190,red_b,true
1030,22.300000,0.294195,76.704775,61.594549,red_b,true
1031,23.300000,0.307388,76.381375,57.559261,red_b,true
1032,21.700000,0.286280,77.034225,64.069007,red_b,true
1033,20.600000,0.271768,75.381060,52.797531,red_b,true
1034,20.800000,0.274406,76.000891,60.170982,red_b,true
1035,22.200000,0.292876,76.178120,57.194892,red_b,true
1036,20.400000,0.269129,75.187293,52.423987,red_b,true
1037,21.300000,0.281003,76.339954,61.238752,red_b,true
1038,21.000000,0.277045,76.331669,61.254558,red_b,true
1039,21.600000,0.284960,77.190973,65.983354,red_b,true
1040,19.900000,0.262533,76.246110,60.228690,red_b,true
1041,21.400000,0.282322,76.314685,58.901022,red_b,true
1042,22.400000,0.295515,76.113546,55.341469,red_b,true
1043,22.200000,0.292876,76.173193,57.426481,red_b,true
1044,22.200000,0.292876,76.145561,54.189908,red_b,true
1045,21.800000,0.287599,76.502602,59.371853,red_b,true
1046,22.200000,0.292876,76.706638,62.513491,red_b,true
1047,21.700000,0.286280,76.079451,55.437719,red_b,true
1048,21.100000,0.278364,76.238358,58.406682,red_b,true
1049,23.000000,0.303430,77.093221,61.860675,red_b,true
1050,21.400000,0.282322,76.632790,63.023857,red_b,true
1051,21.500000,0.283641,76.280899,60.182087,red_b,true
1052,21.100000,0.278364,75.834042,57.025668,red_b,true
1053,22.600000,0.298153,76.976761,62.792611,red_b,true
1054,22.700000,0.299472,77.088105,63.597253,red_b,true
1055,20.600000,0.271768,75.900670,58.341436,red_b,true
1056,22.300000,0.294195,76.515216,58.845220,red_b,true
1057,21.100000,0.278364,76.444875,63.279975,red_b,true
1058,22.300000,0.294195,76.869842,63.639382,red_b,true
1059,21.600000,0.284960,76.699801,63.214818,red_b,true
1060,21.800000,0.287599,76.292493,59.032357,red_b,true
1061,20.800000,0.274406,76.186853,60.711956,red_b,true
1062,21.000000,0.277045,76.164394,60.142295,red_b,true
1063,21.300000,0.281003,76.480697,61.492488,red_b,true
1064,21.700000,0.286280,76.692396,62.443203,red_b,true
1065,21.600000,0.284960,77.024750,65.139961,red_b,true
1066,21.400000,0.282322,76.119297,57.989100,red_b,true
1067,21.900000,0.288918,76.621204,61.773817,red_b,true
1068,21.500000,0.283641,76.091449,58.664827,red_b,true
1069,20.700000,0.273087,75.683871,55.907251,red_b,true
1070,22.200000,0.292876,76.376948,58.476657,red_b,true
1071,22.900000,0.302111,76.776478,60.212768,red_b,true
1072,21.200000,0.279683,76.117294,56.716821,red_b,true
1073,19.800000,0.261214,75.197687,54.483256,red_b,true
1074,21.000000,0.277045,76.126655,57.167202,red_b,true
1075,21.600000,0.284960,76.114905,57.075788,red_b,true
1076,21.800000,0.287599,76.651965,61.979612,red_b,true
1077,22.200000,0.292876,77.223922,66.025100,red_b,true
1078,23.000000,0.303430,77.271184,65.830422,red_b,true
1079,20.500000,0.270449,75.783963,55.706636,red_b,true
1080,21.400000,0.282322,76.387638,60.512749,red_b,true
1081,22.500000,0.296834,77.170364,64.270263,red_b,true
1082,21.600000,0.284960,76.674764,63.297729,red_b,true
1083,21.100000,0.278364,76.281828,58.014268,red_b,true
1084,21.600000,0.284960,76.943958,64.863666,red_b,true
1085,21.600000,0.284960,76.629821,61.404521,red_b,true
1086,21.700000,0.286280,76.068898,56.472711,red_b,true
1087,20.100000,0.265172,75.983826,57.978806,red_b,true
1088,22.100000,0.291557,76.672251,63.254202,red_b,true
1089,22.200000,0.292876,77.130670,64.478235,red_b,true
1090,21.800000,0.287599,76.134304,58.915343,red_b,true
1091,20.600000,0.271768,75.890916,56.729099,red_b,true
1092,21.400000,0.282322,76.670470,62.667987,red_b,true
1093,21.700000,0.286280,76.169077,55.241022,red_b,true
1094,21.500000,0.283641,76.038638,55.101335,red_b,true
1095,21.600000,0.284960,76.950338,64.012382,red_b,true
1096,22.700000,0.299472,76.906694,61.536968,red_b,true
1097,20.700000,0.273087,75.767065,55.760033,red_b,true
1098,21.500000,0.283641,75.995695,56.869454,red_b,true
1099,21.900000,0.288918,76.075600,54.321683,red_b,true
1100,21.500000,0.283641,75.889053,55.795301,red_b,true
1101,20.300000,0.267810,75.400506,54.034171,red_b,true
1102,22.000000,0.290237,76.250319,56.598272,red_b,true
1103,22.200000,0.292876,76.396688,59.014576,red_b,true
1104,21.300000,0.281003,76.313590,61.473981,red_b,true
1105,21.900000,0.288918,76.988561,65.565991,red_b,true
1106,23.400000,0.308707,76.872032,60.766524,red_b,true
1107,22.500000,0.296834,76.580774,59.978608,red_b,true
1108,21.800000,0.287599,76.311286,57.945020,red_b,true
1109,22.000000,0.290237,76.927362,64.172908,red_b,true
1110,22.000000,0.290237,76.206303,58.056028,red_b,true
1111,20.300000,0.267810,75.646899,55.349551,red_b,true
1112,21.900000,0.288918,76.669861,62.657373,red_b,true
1113,22.900000,0.302111,76.798132,60.873245,red_b,true
1114,20.300000,0.267810,75.288906,54.350040,red_b,true
1115,21.100000,0.278364,75.685262,56.302934,red_b,true
1116,22.400000,0.295515,77.513382,67.013566,red_b,true
1117,22.300000,0.294195,76.641446,62.553606,red_b,true
1118,21.400000,0.282322,76.446512,60.382247,red_b,true
1119,23.100000,0.304749,76.997817,60.245345,red_b,true
1120,22.000000,0.290237,76.035753,56.350385,red_b,true
1121,22.500000,0.296834,76.768756,62.307685,red_b,true
1122,21.300000,0.281003,76.101626,56.587999,red_b,true
1123,22.000000,0.290237,76.681064,62.084501,red_b,true
1124,20.700000,0.273087,76.029457,59.448367,red_b,true
